interest,count,mean,std
Family & Parenting,32136,-0.2955710204311184,0.5909079365298957
Politics,25932,-0.3408981509411637,0.5729327464060199
Sports,21739,-0.2251079485474841,0.607647174303408
Books,21327,-0.27303910917108193,0.619499730283319
Business,20649,-0.11544105612209608,0.598355112780399
Beauty/Health & Fitness,19979,-0.11833636190722938,0.6124862436062628
Music,14993,-0.29268709809009674,0.6101451802296466
Animals & Pets,13250,-0.33752989826938284,0.5966042237938427
Technology,11588,-0.17335660437693776,0.6044568025110849
Food & Drinks,11220,-0.27412155483739087,0.6070158026080047
Science,10682,-0.15179212987920424,0.6187836652602341
Fine arts,8251,-0.33090466175475447,0.625955149657632
TV,6394,-0.27955580614398684,0.6016512655954902
Games,6206,-0.3274966396709431,0.6337964117727823
Movies,5315,-0.2874494962129956,0.6174308878547096
Travel,3897,-0.2180629421026399,0.6106898399918081
Photo & Video,3763,-0.2686473618542325,0.6009268309992717
Environment,3733,-0.2408507960628511,0.6188214728023321
Automotive,2639,-0.22244509529171877,0.6056680947517761
Fashion,2103,-0.3190077224916364,0.6010357778349301
Shopping,1499,-0.18980350934790255,0.6099111490751943
