Interest,Bimonthly,Mean Sentiment,Count
TV,1/2023--3/2023,-0.2600732600732601,819
TV,11/2022--1/2023,-0.35785953177257523,299
TV,9/2022--11/2022,-0.16666666666666666,150
TV,7/2022--9/2022,0.0,36
TV,5/2022--7/2022,-0.06896551724137931,58
TV,3/2022--5/2022,0.18421052631578946,38
TV,1/2022--3/2022,0.17073170731707318,41
TV,11/2021--1/2022,-0.06666666666666667,30
TV,9/2021--11/2021,0.17857142857142858,28
TV,7/2021--9/2021,-0.14285714285714285,28
TV,3/2023--5/2023,-0.2088724584103512,1623
TV,5/2023--7/2023,-0.17371134020618556,1940
TV,7/2023--9/2023,-0.22267441860465118,1720
TV,9/2023--11/2023,-0.3352909770421783,1873
TV,11/2023--1/2024,-0.20687910976226606,1977
TV,1/2024--3/2024,-0.3102951763858891,2778
TV,3/2024--5/2024,-0.2993535554450522,2011
Family & Parenting,1/2023--3/2023,-0.32108743570903747,2722
Family & Parenting,11/2022--1/2023,-0.3279944289693593,1436
Family & Parenting,9/2022--11/2022,-0.1186161449752883,607
Family & Parenting,7/2022--9/2022,-0.09444444444444444,360
Family & Parenting,5/2022--7/2022,-0.05152224824355972,427
Family & Parenting,3/2022--5/2022,0.13157894736842105,342
Family & Parenting,1/2022--3/2022,0.060126582278481014,316
Family & Parenting,11/2021--1/2022,0.0990990990990991,222
Family & Parenting,9/2021--11/2021,0.04294478527607362,163
Family & Parenting,7/2021--9/2021,0.11666666666666667,180
Family & Parenting,3/2023--5/2023,-0.23413471951483647,4617
Family & Parenting,5/2023--7/2023,-0.24038914169151107,6373
Family & Parenting,7/2023--9/2023,-0.22845540682809445,6649
Family & Parenting,9/2023--11/2023,-0.3056872037914692,8018
Family & Parenting,11/2023--1/2024,-0.2525900345337938,8108
Family & Parenting,1/2024--3/2024,-0.3233256351039261,16021
Family & Parenting,3/2024--5/2024,-0.36248254854676987,7879
Business,1/2023--3/2023,-0.1267519804996953,1641
Business,11/2022--1/2023,-0.3157894736842105,1197
Business,9/2022--11/2022,0.006787330316742082,442
Business,7/2022--9/2022,0.1471861471861472,231
Business,5/2022--7/2022,-0.012552301255230125,239
Business,3/2022--5/2022,0.19658119658119658,234
Business,1/2022--3/2022,0.21634615384615385,208
Business,11/2021--1/2022,0.13756613756613756,189
Business,9/2021--11/2021,0.2751677852348993,149
Business,7/2021--9/2021,0.24545454545454545,220
Business,3/2023--5/2023,-0.056378132118451024,3512
Business,5/2023--7/2023,-0.05235294117647059,5100
Business,7/2023--9/2023,0.01651705565529623,5570
Business,9/2023--11/2023,-0.09685563461097085,8714
Business,11/2023--1/2024,-0.04277173079871225,6523
Business,1/2024--3/2024,-0.14743663927786135,8641
Business,3/2024--5/2024,-0.03161026403867609,5378
Technology,1/2023--3/2023,-0.14811407543698252,1087
Technology,11/2022--1/2023,-0.4092009685230024,826
Technology,9/2022--11/2022,-0.05791505791505792,259
Technology,7/2022--9/2022,-0.06451612903225806,124
Technology,5/2022--7/2022,-0.034482758620689655,116
Technology,3/2022--5/2022,0.27205882352941174,136
Technology,1/2022--3/2022,0.17857142857142858,84
Technology,11/2021--1/2022,-0.029411764705882353,68
Technology,9/2021--11/2021,0.19101123595505617,89
Technology,7/2021--9/2021,0.08888888888888889,90
Technology,3/2023--5/2023,-0.09499489274770173,1958
Technology,5/2023--7/2023,-0.10967503692762186,2708
Technology,7/2023--9/2023,-0.04579339723109691,2817
Technology,9/2023--11/2023,-0.14769150052465896,3812
Technology,11/2023--1/2024,-0.10684931506849316,3285
Technology,1/2024--3/2024,-0.2368663594470046,4340
Technology,3/2024--5/2024,-0.14351851851851852,2808
Beauty/Health & Fitness,1/2023--3/2023,-0.10052327182594327,3631
Beauty/Health & Fitness,11/2022--1/2023,-0.10707269155206287,2036
Beauty/Health & Fitness,9/2022--11/2022,0.04007455731593663,1073
Beauty/Health & Fitness,7/2022--9/2022,0.08985507246376812,690
Beauty/Health & Fitness,5/2022--7/2022,0.05707196029776675,806
Beauty/Health & Fitness,3/2022--5/2022,0.23170731707317074,656
Beauty/Health & Fitness,1/2022--3/2022,0.1847457627118644,590
Beauty/Health & Fitness,11/2021--1/2022,0.21534653465346534,404
Beauty/Health & Fitness,9/2021--11/2021,0.20658682634730538,334
Beauty/Health & Fitness,7/2021--9/2021,0.1862348178137652,494
Beauty/Health & Fitness,3/2023--5/2023,-0.0673337856173677,5896
Beauty/Health & Fitness,5/2023--7/2023,-0.03291890364509748,7078
Beauty/Health & Fitness,7/2023--9/2023,-0.003495145631067961,7725
Beauty/Health & Fitness,9/2023--11/2023,-0.07965840683186336,7143
Beauty/Health & Fitness,11/2023--1/2024,-0.018880041099409196,7786
Beauty/Health & Fitness,1/2024--3/2024,-0.18247111481211617,9607
Beauty/Health & Fitness,3/2024--5/2024,-0.1210762331838565,5575
Politics,1/2023--3/2023,-0.3797786720321932,1988
Politics,11/2022--1/2023,-0.42885572139303485,1005
Politics,9/2022--11/2022,-0.1324200913242009,438
Politics,7/2022--9/2022,-0.13989637305699482,193
Politics,5/2022--7/2022,-0.21785714285714286,280
Politics,3/2022--5/2022,0.0,173
Politics,1/2022--3/2022,0.08441558441558442,154
