interest,count,mean,std
Family & Parenting,64440,-0.2797330850403476,0.6639840379610493
Beauty/Health & Fitness,61524,-0.06052922436772642,0.6658742188595506
Politics,53751,-0.32419861956056634,0.6486123270496013
Books,50167,-0.22574600833217054,0.6790564178468153
Business,48188,-0.0680667386071221,0.6612013543099443
Sports,42939,-0.2069680244067165,0.6641487464321059
Animals & Pets,28469,-0.3355931012680459,0.6650127357314429
Music,28043,-0.28388546161252365,0.6724686622499582
Science,26868,-0.1109126097960399,0.6661805271012821
Technology,24607,-0.1384971756004389,0.6620174887350878
Food & Drinks,22798,-0.2677427844547767,0.67013501148495
Fine arts,15531,-0.30590432039147514,0.6790797423328747
TV,15449,-0.25218460741795584,0.6614862102201932
Movies,10699,-0.2719880362650715,0.6700127386575703
Games,10624,-0.30553463855421686,0.6853886199212238
Environment,8134,-0.2190804032456356,0.6742710333850196
Travel,8004,-0.2166416791604198,0.6696079267012646
Photo & Video,7878,-0.24155877126174155,0.6615458925258701
Automotive,4932,-0.217558799675588,0.664534457353994
Fashion,4656,-0.29445876288659795,0.6556860340994756
Shopping,3538,-0.1693046919163369,0.6528653032565322
